positive_training\3_2012-07-17_15-15-44-clip100-0.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-1.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-2.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-3.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-4.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-5.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-6.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-7.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip100-8.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-0.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-1.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-2.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-3.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-4.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-5.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-6.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-7.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1000-8.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-0.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-1.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-2.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-3.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-4.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-5.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-6.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-7.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1001-8.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-0.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-1.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-2.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-3.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-4.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-5.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-6.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-7.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1002-8.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1003-0.jpg 1 0 0 32 24
positive_training\3_2012-07-17_15-15-44-clip1003-1.jpg 1 0 0 32 24
